"case","event","index"
1,"CnC|http(s)",0
1,"infoD|http(s)",1
1,"infoD|http(s)",2
2,"vulnD|storage",0
2,"serD|unassigned",1
2,"vulnD|storage",2
2,"serD|unassigned",3
2,"vulnD|storage",4
2,"serD|unassigned",5
3,"netDOS|http(s)",0
3,"infoD|http(s)",1
3,"surf|http(s)",2
3,"hostD|http(s)",3
3,"vulnD|storage",4
3,"serD|unassigned",5
3,"infoD|remoteAccess",6
3,"surf|remoteAccess",7
3,"hostD|remoteAccess",8
3,"vulnD|storage",9
3,"serD|unassigned",10
3,"vulnD|storage",11
3,"serD|unassigned",12
4,"serD|unassigned",0
4,"hostD|remoteAccess",1
4,"infoD|remoteAccess",2
4,"vulnD|storage",3
4,"serD|unassigned",4
4,"surf|remoteAccess",5
4,"infoD|remoteAccess",6
4,"surf|remoteAccess",7
5,"vulnD|storage",0
5,"serD|unassigned",1
5,"vulnD|storage",2
5,"serD|unassigned",3
5,"vulnD|storage",4
5,"serD|unassigned",5
6,"vulnD|storage",0
6,"serD|unassigned",1
6,"vulnD|storage",2
6,"serD|unassigned",3
6,"vulnD|storage",4
6,"serD|unassigned",5
7,"surf|broadcast",0
7,"infoD|broadcast",1
7,"vulnD|storage",2
7,"serD|unassigned",3
7,"vulnD|storage",4
7,"serD|unassigned",5
7,"vulnD|storage",6
7,"serD|unassigned",7
8,"vulnD|storage",0
8,"serD|unassigned",1
8,"vulnD|storage",2
8,"serD|unassigned",3
8,"vulnD|storage",4
8,"serD|unassigned",5
9,"netDOS|http(s)",0
9,"infoD|http(s)",1
9,"surf|http(s)",2
9,"vulnD|storage",3
9,"serD|unassigned",4
9,"vulnD|storage",5
9,"serD|unassigned",6
9,"vulnD|storage",7
9,"serD|unassigned",8
10,"vulnD|storage",0
10,"serD|unassigned",1
10,"vulnD|storage",2
10,"serD|unassigned",3
10,"vulnD|storage",4
10,"serD|unassigned",5
10,"vulnD|storage",6
10,"serD|unassigned",7
11,"vulnD|storage",0
11,"serD|unassigned",1
11,"vulnD|storage",2
11,"serD|unassigned",3
11,"vulnD|storage",4
11,"serD|unassigned",5
11,"vulnD|storage",6
11,"serD|unassigned",7
12,"vulnD|storage",0
12,"serD|unassigned",1
12,"vulnD|storage",2
12,"serD|unassigned",3
12,"vulnD|storage",4
12,"serD|unassigned",5
13,"netDOS|http(s)",0
13,"infoD|http(s)",1
13,"surf|http(s)",2
13,"hostD|http(s)",3
13,"vulnD|storage",4
13,"serD|unassigned",5
13,"hostD|http(s)",6
13,"vulnD|storage",7
13,"serD|unassigned",8
13,"vulnD|storage",9
13,"serD|unassigned",10
14,"netDOS|http(s)",0
14,"infoD|http(s)",1
14,"surf|http(s)",2
15,"vulnD|storage",0
15,"serD|unassigned",1
15,"hostD|http(s)",2
16,"infoD|surveillance",0
16,"surf|surveillance",1
16,"vulnD|storage",2
16,"serD|unassigned",3
16,"hostD|surveillance",4
17,"bfCred|email",0
17,"vulnD|storage",1
17,"serD|unassigned",2
17,"hostD|http(s)",3
18,"vulnD|storage",0
18,"serD|unassigned",1
18,"hostD|http(s)",2
19,"netDOS|http(s)",0
19,"infoD|http(s)",1
19,"surf|http(s)",2
19,"vulnD|storage",3
19,"serD|unassigned",4
19,"hostD|hostingServer",5
20,"surf|http(s)",0
20,"vulnD|storage",1
20,"serD|unassigned",2
20,"hostD|hostingServer",3
21,"vulnD|storage",0
21,"serD|unassigned",1
21,"vulnD|storage",2
21,"serD|unassigned",3
22,"vulnD|storage",0
22,"serD|unassigned",1
22,"hostD|unassigned",2
23,"netDOS|http(s)",0
23,"infoD|http(s)",1
23,"surf|http(s)",2
23,"vulnD|storage",3
23,"serD|unassigned",4
23,"hostD|wireless",5
24,"delivery|http(s)",0
24,"exfil|http(s)",1
24,"dManip|http(s)",2
24,"resHJ|http(s)",3
24,"ACE|http(s)",4
24,"CnC|http(s)",5
24,"remoteexp|http(s)",6
24,"acctManip|http(s)",7
24,"rPrivEsc|http(s)",8
24,"infoD|http(s)",9
24,"vulnD|storage",10
24,"serD|unassigned",11
24,"surf|http(s)",12
25,"delivery|http(s)",0
25,"exfil|http(s)",1
25,"dManip|http(s)",2
25,"resHJ|http(s)",3
25,"ACE|http(s)",4
25,"CnC|http(s)",5
25,"remoteexp|http(s)",6
25,"acctManip|http(s)",7
25,"rPrivEsc|http(s)",8
25,"infoD|http(s)",9
25,"vulnD|http(s)",10
25,"surf|http(s)",11
25,"vulnD|storage",12
25,"serD|unassigned",13
25,"serD|unassigned",14
26,"delivery|http(s)",0
26,"exfil|http(s)",1
26,"dManip|http(s)",2
26,"resHJ|wireless",3
26,"ACE|http(s)",4
26,"CnC|http(s)",5
26,"remoteexp|wireless",6
26,"acctManip|wireless",7
26,"rPrivEsc|wireless",8
26,"infoD|http(s)",9
26,"vulnD|wireless",10
