"case","event"
"case_1","start->infoD|http(s)"
"case_1","infoD|http(s)->infoD|http(s)"
"case_1","infoD|http(s)->CnC|http(s)"
"case_1","CnC|http(s)->end"
"case_2","start->serD|unassigned"
"case_2","serD|unassigned->vulnD|storage"
"case_2","vulnD|storage->serD|unassigned"
"case_2","serD|unassigned->vulnD|storage"
"case_2","vulnD|storage->serD|unassigned"
"case_2","serD|unassigned->vulnD|storage"
"case_2","vulnD|storage->end"
"case_3","start->serD|unassigned"
"case_3","serD|unassigned->vulnD|storage"
"case_3","vulnD|storage->serD|unassigned"
"case_3","serD|unassigned->vulnD|storage"
"case_3","vulnD|storage->hostD|remoteAccess"
"case_3","hostD|remoteAccess->surf|remoteAccess"
"case_3","surf|remoteAccess->infoD|remoteAccess"
"case_3","infoD|remoteAccess->serD|unassigned"
"case_3","serD|unassigned->vulnD|storage"
"case_3","vulnD|storage->hostD|http(s)"
"case_3","hostD|http(s)->surf|http(s)"
"case_3","surf|http(s)->infoD|http(s)"
"case_3","infoD|http(s)->netDOS|http(s)"
"case_3","netDOS|http(s)->end"
"case_4","start->surf|remoteAccess"
"case_4","surf|remoteAccess->infoD|remoteAccess"
"case_4","infoD|remoteAccess->surf|remoteAccess"
"case_4","surf|remoteAccess->serD|unassigned"
"case_4","serD|unassigned->vulnD|storage"
"case_4","vulnD|storage->infoD|remoteAccess"
"case_4","infoD|remoteAccess->hostD|remoteAccess"
"case_4","hostD|remoteAccess->serD|unassigned"
"case_4","serD|unassigned->end"
"case_5","start->serD|unassigned"
"case_5","serD|unassigned->vulnD|storage"
"case_5","vulnD|storage->serD|unassigned"
"case_5","serD|unassigned->vulnD|storage"
"case_5","vulnD|storage->serD|unassigned"
"case_5","serD|unassigned->vulnD|storage"
"case_5","vulnD|storage->end"
"case_6","start->serD|unassigned"
"case_6","serD|unassigned->vulnD|storage"
"case_6","vulnD|storage->serD|unassigned"
"case_6","serD|unassigned->vulnD|storage"
"case_6","vulnD|storage->serD|unassigned"
"case_6","serD|unassigned->vulnD|storage"
"case_6","vulnD|storage->end"
"case_7","start->serD|unassigned"
"case_7","serD|unassigned->vulnD|storage"
"case_7","vulnD|storage->serD|unassigned"
"case_7","serD|unassigned->vulnD|storage"
"case_7","vulnD|storage->serD|unassigned"
"case_7","serD|unassigned->vulnD|storage"
"case_7","vulnD|storage->infoD|broadcast"
"case_7","infoD|broadcast->surf|broadcast"
"case_7","surf|broadcast->end"
"case_8","start->serD|unassigned"
"case_8","serD|unassigned->vulnD|storage"
"case_8","vulnD|storage->serD|unassigned"
"case_8","serD|unassigned->vulnD|storage"
"case_8","vulnD|storage->serD|unassigned"
"case_8","serD|unassigned->vulnD|storage"
"case_8","vulnD|storage->end"
"case_9","start->serD|unassigned"
"case_9","serD|unassigned->vulnD|storage"
"case_9","vulnD|storage->serD|unassigned"
"case_9","serD|unassigned->vulnD|storage"
"case_9","vulnD|storage->serD|unassigned"
"case_9","serD|unassigned->vulnD|storage"
"case_9","vulnD|storage->surf|http(s)"
"case_9","surf|http(s)->infoD|http(s)"
"case_9","infoD|http(s)->netDOS|http(s)"
"case_9","netDOS|http(s)->end"
"case_10","start->serD|unassigned"
"case_10","serD|unassigned->vulnD|storage"
"case_10","vulnD|storage->serD|unassigned"
"case_10","serD|unassigned->vulnD|storage"
"case_10","vulnD|storage->serD|unassigned"
"case_10","serD|unassigned->vulnD|storage"
"case_10","vulnD|storage->serD|unassigned"
"case_10","serD|unassigned->vulnD|storage"
"case_10","vulnD|storage->end"
"case_11","start->serD|unassigned"
"case_11","serD|unassigned->vulnD|storage"
"case_11","vulnD|storage->serD|unassigned"
"case_11","serD|unassigned->vulnD|storage"
"case_11","vulnD|storage->serD|unassigned"
"case_11","serD|unassigned->vulnD|storage"
"case_11","vulnD|storage->serD|unassigned"
"case_11","serD|unassigned->vulnD|storage"
"case_11","vulnD|storage->end"
"case_12","start->serD|unassigned"
"case_12","serD|unassigned->vulnD|storage"
"case_12","vulnD|storage->serD|unassigned"
"case_12","serD|unassigned->vulnD|storage"
"case_12","vulnD|storage->serD|unassigned"
"case_12","serD|unassigned->vulnD|storage"
"case_12","vulnD|storage->end"
"case_13","start->serD|unassigned"
"case_13","serD|unassigned->vulnD|storage"
"case_13","vulnD|storage->serD|unassigned"
"case_13","serD|unassigned->vulnD|storage"
"case_13","vulnD|storage->hostD|http(s)"
"case_13","hostD|http(s)->serD|unassigned"
"case_13","serD|unassigned->vulnD|storage"
"case_13","vulnD|storage->hostD|http(s)"
"case_13","hostD|http(s)->surf|http(s)"
