"case","event"
"case_1","infoD"
"case_1","infoD"
"case_1","CnC"
"case_2","serD"
"case_2","vulnD"
"case_2","serD"
"case_2","vulnD"
"case_2","serD"
"case_2","vulnD"
"case_3","serD"
"case_3","vulnD"
"case_3","serD"
"case_3","vulnD"
"case_3","hostD"
"case_3","surf"
"case_3","infoD"
"case_3","serD"
"case_3","vulnD"
"case_3","hostD"
"case_3","surf"
"case_3","infoD"
"case_3","netDOS"
"case_4","surf"
"case_4","infoD"
"case_4","surf"
"case_4","serD"
"case_4","vulnD"
"case_4","infoD"
"case_4","hostD"
"case_4","serD"
"case_5","serD"
"case_5","vulnD"
"case_5","serD"
"case_5","vulnD"
"case_5","serD"
"case_5","vulnD"
"case_6","serD"
"case_6","vulnD"
"case_6","serD"
"case_6","vulnD"
"case_6","serD"
"case_6","vulnD"
"case_7","serD"
"case_7","vulnD"
"case_7","serD"
"case_7","vulnD"
"case_7","serD"
"case_7","vulnD"
"case_7","infoD"
"case_7","surf"
"case_8","serD"
"case_8","vulnD"
"case_8","serD"
"case_8","vulnD"
"case_8","serD"
"case_8","vulnD"
"case_9","serD"
"case_9","vulnD"
"case_9","serD"
"case_9","vulnD"
"case_9","serD"
"case_9","vulnD"
"case_9","surf"
"case_9","infoD"
"case_9","netDOS"
"case_10","serD"
"case_10","vulnD"
"case_10","serD"
"case_10","vulnD"
"case_10","serD"
"case_10","vulnD"
"case_10","serD"
"case_10","vulnD"
"case_11","serD"
"case_11","vulnD"
"case_11","serD"
"case_11","vulnD"
"case_11","serD"
"case_11","vulnD"
"case_11","serD"
"case_11","vulnD"
"case_12","serD"
"case_12","vulnD"
"case_12","serD"
"case_12","vulnD"
"case_12","serD"
"case_12","vulnD"
"case_13","serD"
"case_13","vulnD"
"case_13","serD"
"case_13","vulnD"
"case_13","hostD"
"case_13","serD"
"case_13","vulnD"
"case_13","hostD"
"case_13","surf"
"case_13","infoD"
"case_13","netDOS"
"case_14","surf"
"case_14","infoD"
"case_14","netDOS"
"case_15","hostD"
"case_15","serD"
"case_15","vulnD"
"case_16","hostD"
"case_16","serD"
"case_16","vulnD"
"case_16","surf"
"case_16","infoD"
"case_17","hostD"
"case_17","serD"
"case_17","vulnD"
"case_17","bfCred"
"case_18","hostD"
"case_18","serD"
"case_18","vulnD"
"case_19","hostD"
"case_19","serD"
"case_19","vulnD"
"case_19","surf"
"case_19","infoD"
"case_19","netDOS"
"case_20","hostD"
"case_20","serD"
"case_20","vulnD"
"case_20","surf"
"case_21","serD"
"case_21","vulnD"
"case_21","serD"
"case_21","vulnD"
"case_22","hostD"
"case_22","serD"
"case_22","vulnD"
"case_23","hostD"
"case_23","serD"
"case_23","vulnD"
"case_23","surf"
"case_23","infoD"
"case_23","netDOS"
"case_24","surf"
"case_24","serD"
"case_24","vulnD"
"case_24","infoD"
"case_24","rPrivEsc"
"case_24","acctManip"
"case_24","remoteexp"
"case_24","CnC"
"case_24","ACE"
"case_24","resHJ"
"case_24","dManip"
"case_24","exfil"
"case_24","delivery"
"case_25","serD"
"case_25","serD"
"case_25","vulnD"
"case_25","surf"
"case_25","vulnD"
"case_25","infoD"
"case_25","rPrivEsc"
"case_25","acctManip"
"case_25","remoteexp"
"case_25","CnC"
"case_25","ACE"
"case_25","resHJ"
"case_25","dManip"
"case_25","exfil"
"case_25","delivery"
"case_26","serD"
"case_26","vulnD"
"case_26","surf"
"case_26","vulnD"
"case_26","infoD"
"case_26","rPrivEsc"
"case_26","acctManip"
