"case","event"
"case_1","start->infoD"
"case_1","infoD->infoD"
"case_1","infoD->CnC"
"case_1","CnC->end"
"case_2","start->serD"
"case_2","serD->vulnD"
"case_2","vulnD->serD"
"case_2","serD->vulnD"
"case_2","vulnD->serD"
"case_2","serD->vulnD"
"case_2","vulnD->end"
"case_3","start->serD"
"case_3","serD->vulnD"
"case_3","vulnD->serD"
"case_3","serD->vulnD"
"case_3","vulnD->hostD"
"case_3","hostD->surf"
"case_3","surf->infoD"
"case_3","infoD->serD"
"case_3","serD->vulnD"
"case_3","vulnD->hostD"
"case_3","hostD->surf"
"case_3","surf->infoD"
"case_3","infoD->netDOS"
"case_3","netDOS->end"
"case_4","start->surf"
"case_4","surf->infoD"
"case_4","infoD->surf"
"case_4","surf->serD"
"case_4","serD->vulnD"
"case_4","vulnD->infoD"
"case_4","infoD->hostD"
"case_4","hostD->serD"
"case_4","serD->end"
"case_5","start->serD"
"case_5","serD->vulnD"
"case_5","vulnD->serD"
"case_5","serD->vulnD"
"case_5","vulnD->serD"
"case_5","serD->vulnD"
"case_5","vulnD->end"
"case_6","start->serD"
"case_6","serD->vulnD"
"case_6","vulnD->serD"
"case_6","serD->vulnD"
"case_6","vulnD->serD"
"case_6","serD->vulnD"
"case_6","vulnD->end"
"case_7","start->serD"
"case_7","serD->vulnD"
"case_7","vulnD->serD"
"case_7","serD->vulnD"
"case_7","vulnD->serD"
"case_7","serD->vulnD"
"case_7","vulnD->infoD"
"case_7","infoD->surf"
"case_7","surf->end"
"case_8","start->serD"
"case_8","serD->vulnD"
"case_8","vulnD->serD"
"case_8","serD->vulnD"
"case_8","vulnD->serD"
"case_8","serD->vulnD"
"case_8","vulnD->end"
"case_9","start->serD"
"case_9","serD->vulnD"
"case_9","vulnD->serD"
"case_9","serD->vulnD"
"case_9","vulnD->serD"
"case_9","serD->vulnD"
"case_9","vulnD->surf"
"case_9","surf->infoD"
"case_9","infoD->netDOS"
"case_9","netDOS->end"
"case_10","start->serD"
"case_10","serD->vulnD"
"case_10","vulnD->serD"
"case_10","serD->vulnD"
"case_10","vulnD->serD"
"case_10","serD->vulnD"
"case_10","vulnD->serD"
"case_10","serD->vulnD"
"case_10","vulnD->end"
"case_11","start->serD"
"case_11","serD->vulnD"
"case_11","vulnD->serD"
"case_11","serD->vulnD"
"case_11","vulnD->serD"
"case_11","serD->vulnD"
"case_11","vulnD->serD"
"case_11","serD->vulnD"
"case_11","vulnD->end"
"case_12","start->serD"
"case_12","serD->vulnD"
"case_12","vulnD->serD"
"case_12","serD->vulnD"
"case_12","vulnD->serD"
"case_12","serD->vulnD"
"case_12","vulnD->end"
"case_13","start->serD"
"case_13","serD->vulnD"
"case_13","vulnD->serD"
"case_13","serD->vulnD"
"case_13","vulnD->hostD"
"case_13","hostD->serD"
"case_13","serD->vulnD"
"case_13","vulnD->hostD"
"case_13","hostD->surf"
"case_13","surf->infoD"
"case_13","infoD->netDOS"
"case_13","netDOS->end"
"case_14","start->surf"
"case_14","surf->infoD"
"case_14","infoD->netDOS"
"case_14","netDOS->end"
"case_15","start->hostD"
"case_15","hostD->serD"
"case_15","serD->vulnD"
"case_15","vulnD->end"
"case_16","start->hostD"
"case_16","hostD->serD"
"case_16","serD->vulnD"
"case_16","vulnD->surf"
"case_16","surf->infoD"
"case_16","infoD->end"
"case_17","start->hostD"
"case_17","hostD->serD"
"case_17","serD->vulnD"
"case_17","vulnD->bfCred"
"case_17","bfCred->end"
"case_18","start->hostD"
"case_18","hostD->serD"
"case_18","serD->vulnD"
"case_18","vulnD->end"
"case_19","start->hostD"
"case_19","hostD->serD"
"case_19","serD->vulnD"
"case_19","vulnD->surf"
"case_19","surf->infoD"
"case_19","infoD->netDOS"
"case_19","netDOS->end"
"case_20","start->hostD"
"case_20","hostD->serD"
"case_20","serD->vulnD"
"case_20","vulnD->surf"
"case_20","surf->end"
"case_21","start->serD"
"case_21","serD->vulnD"
"case_21","vulnD->serD"
"case_21","serD->vulnD"
"case_21","vulnD->end"
"case_22","start->hostD"
"case_22","hostD->serD"
"case_22","serD->vulnD"
"case_22","vulnD->end"
"case_23","start->hostD"
"case_23","hostD->serD"
"case_23","serD->vulnD"
"case_23","vulnD->surf"
"case_23","surf->infoD"
"case_23","infoD->netDOS"
"case_23","netDOS->end"
"case_24","start->surf"
"case_24","surf->serD"
"case_24","serD->vulnD"
"case_24","vulnD->infoD"
"case_24","infoD->rPrivEsc"
"case_24","rPrivEsc->acctManip"
"case_24","acctManip->remoteexp"
"case_24","remoteexp->CnC"
"case_24","CnC->ACE"
"case_24","ACE->resHJ"
"case_24","resHJ->dManip"
"case_24","dManip->exfil"
"case_24","exfil->delivery"
"case_24","delivery->end"
"case_25","start->serD"
"case_25","serD->serD"
"case_25","serD->vulnD"
"case_25","vulnD->surf"
"case_25","surf->vulnD"
"case_25","vulnD->infoD"
"case_25","infoD->rPrivEsc"
"case_25","rPrivEsc->acctManip"
"case_25","acctManip->remoteexp"
"case_25","remoteexp->CnC"
"case_25","CnC->ACE"
"case_25","ACE->resHJ"
"case_25","resHJ->dManip"
"case_25","dManip->exfil"
"case_25","exfil->delivery"
"case_25","delivery->end"
"case_26","start->serD"
"case_26","serD->vulnD"
"case_26","vulnD->surf"
"case_26","surf->vulnD"
"case_26","vulnD->infoD"
"case_26","infoD->rPrivEsc"
"case_26","rPrivEsc->acctManip"
"case_26","acctManip->remoteexp"
"case_26","remoteexp->CnC"
"case_26","CnC->ACE"
"case_26","ACE->resHJ"
"case_26","resHJ->dManip"
"case_26","dManip->exfil"
"case_26","exfil->delivery"
"case_26","delivery->end"
"case_27","start->serD"
"case_27","serD->vulnD"
"case_27","vulnD->serD"
"case_27","serD->vulnD"
"case_27","vulnD->end"
"case_28","start->serD"
"case_28","serD->vulnD"
"case_28","vulnD->serD"
"case_28","serD->vulnD"
"case_28","vulnD->end"
"case_29","start->serD"
"case_29","serD->vulnD"
"case_29","vulnD->serD"
"case_29","serD->vulnD"
"case_29","vulnD->end"
"case_30","start->serD"
"case_30","serD->vulnD"
"case_30","vulnD->surf"
"case_30","surf->vulnD"
"case_30","vulnD->infoD"
"case_30","infoD->rPrivEsc"
"case_30","rPrivEsc->remoteexp"
"case_30","remoteexp->ACE"
"case_30","ACE->dManip"
"case_30","dManip->exfil"
"case_30","exfil->end"
"case_31","start->serD"
"case_31","serD->vulnD"
"case_31","vulnD->serD"
"case_31","serD->vulnD"
"case_31","vulnD->serD"
"case_31","serD->vulnD"
"case_31","vulnD->end"
"case_32","start->serD"
"case_32","serD->vulnD"
"case_32","vulnD->serD"
"case_32","serD->vulnD"
"case_32","vulnD->serD"
"case_32","serD->vulnD"
"case_32","vulnD->end"
"case_33","start->serD"
"case_33","serD->vulnD"
"case_33","vulnD->serD"
"case_33","serD->vulnD"
"case_33","vulnD->serD"
"case_33","serD->vulnD"
"case_33","vulnD->end"
"case_34","start->serD"
"case_34","serD->vulnD"
"case_34","vulnD->serD"
"case_34","serD->vulnD"
"case_34","vulnD->serD"
"case_34","serD->vulnD"
"case_34","vulnD->end"
"case_35","start->serD"
"case_35","serD->vulnD"
"case_35","vulnD->serD"
"case_35","serD->vulnD"
"case_35","vulnD->serD"
"case_35","serD->vulnD"
"case_35","vulnD->end"
"case_36","start->serD"
"case_36","serD->vulnD"
"case_36","vulnD->serD"
"case_36","serD->vulnD"
"case_36","vulnD->serD"
"case_36","serD->vulnD"
"case_36","vulnD->end"
"case_37","start->serD"
"case_37","serD->vulnD"
"case_37","vulnD->serD"
"case_37","serD->vulnD"
"case_37","vulnD->hostD"
"case_37","hostD->serD"
"case_37","serD->vulnD"
"case_37","vulnD->serD"
"case_37","serD->vulnD"
"case_37","vulnD->hostD"
"case_37","hostD->surf"
"case_37","surf->infoD"
"case_37","infoD->rPrivEsc"
"case_37","rPrivEsc->acctManip"
