"case","event"
"case_1","start->CnC"
"case_1","CnC->infoD"
"case_1","infoD->infoD"
"case_1","infoD->end"
"case_2","start->vulnD"
"case_2","vulnD->serD"
"case_2","serD->vulnD"
"case_2","vulnD->serD"
"case_2","serD->vulnD"
"case_2","vulnD->serD"
"case_2","serD->end"
"case_3","start->netDOS"
"case_3","netDOS->infoD"
"case_3","infoD->surf"
"case_3","surf->hostD"
"case_3","hostD->vulnD"
"case_3","vulnD->serD"
"case_3","serD->infoD"
"case_3","infoD->surf"
"case_3","surf->hostD"
"case_3","hostD->vulnD"
"case_3","vulnD->serD"
"case_3","serD->vulnD"
"case_3","vulnD->serD"
"case_3","serD->end"
"case_4","start->serD"
"case_4","serD->hostD"
"case_4","hostD->infoD"
"case_4","infoD->vulnD"
"case_4","vulnD->serD"
"case_4","serD->surf"
"case_4","surf->infoD"
"case_4","infoD->surf"
"case_4","surf->end"
"case_5","start->vulnD"
"case_5","vulnD->serD"
"case_5","serD->vulnD"
"case_5","vulnD->serD"
"case_5","serD->vulnD"
"case_5","vulnD->serD"
"case_5","serD->end"
"case_6","start->vulnD"
"case_6","vulnD->serD"
"case_6","serD->vulnD"
"case_6","vulnD->serD"
"case_6","serD->vulnD"
"case_6","vulnD->serD"
"case_6","serD->end"
"case_7","start->surf"
"case_7","surf->infoD"
"case_7","infoD->vulnD"
"case_7","vulnD->serD"
"case_7","serD->vulnD"
"case_7","vulnD->serD"
"case_7","serD->vulnD"
"case_7","vulnD->serD"
"case_7","serD->end"
"case_8","start->vulnD"
"case_8","vulnD->serD"
"case_8","serD->vulnD"
"case_8","vulnD->serD"
"case_8","serD->vulnD"
"case_8","vulnD->serD"
"case_8","serD->end"
"case_9","start->netDOS"
"case_9","netDOS->infoD"
"case_9","infoD->surf"
"case_9","surf->vulnD"
"case_9","vulnD->serD"
"case_9","serD->vulnD"
"case_9","vulnD->serD"
"case_9","serD->vulnD"
"case_9","vulnD->serD"
"case_9","serD->end"
"case_10","start->vulnD"
"case_10","vulnD->serD"
"case_10","serD->vulnD"
"case_10","vulnD->serD"
"case_10","serD->vulnD"
"case_10","vulnD->serD"
"case_10","serD->vulnD"
"case_10","vulnD->serD"
"case_10","serD->end"
"case_11","start->vulnD"
"case_11","vulnD->serD"
"case_11","serD->vulnD"
"case_11","vulnD->serD"
"case_11","serD->vulnD"
"case_11","vulnD->serD"
"case_11","serD->vulnD"
"case_11","vulnD->serD"
"case_11","serD->end"
"case_12","start->vulnD"
"case_12","vulnD->serD"
"case_12","serD->vulnD"
"case_12","vulnD->serD"
"case_12","serD->vulnD"
"case_12","vulnD->serD"
"case_12","serD->end"
"case_13","start->netDOS"
"case_13","netDOS->infoD"
"case_13","infoD->surf"
"case_13","surf->hostD"
"case_13","hostD->vulnD"
"case_13","vulnD->serD"
"case_13","serD->hostD"
"case_13","hostD->vulnD"
"case_13","vulnD->serD"
"case_13","serD->vulnD"
"case_13","vulnD->serD"
"case_13","serD->end"
"case_14","start->netDOS"
"case_14","netDOS->infoD"
"case_14","infoD->surf"
"case_14","surf->end"
"case_15","start->vulnD"
"case_15","vulnD->serD"
"case_15","serD->hostD"
"case_15","hostD->end"
"case_16","start->infoD"
"case_16","infoD->surf"
"case_16","surf->vulnD"
"case_16","vulnD->serD"
"case_16","serD->hostD"
"case_16","hostD->end"
"case_17","start->bfCred"
"case_17","bfCred->vulnD"
"case_17","vulnD->serD"
"case_17","serD->hostD"
"case_17","hostD->end"
"case_18","start->vulnD"
"case_18","vulnD->serD"
