"case","event"
"case_1","infoD|http(s)"
"case_1","infoD|http(s)"
"case_1","CnC|http(s)"
"case_2","serD|unassigned"
"case_2","vulnD|storage"
"case_2","serD|unassigned"
"case_2","vulnD|storage"
"case_2","serD|unassigned"
"case_2","vulnD|storage"
"case_3","serD|unassigned"
"case_3","vulnD|storage"
"case_3","serD|unassigned"
"case_3","vulnD|storage"
"case_3","hostD|remoteAccess"
"case_3","surf|remoteAccess"
"case_3","infoD|remoteAccess"
"case_3","serD|unassigned"
"case_3","vulnD|storage"
"case_3","hostD|http(s)"
"case_3","surf|http(s)"
"case_3","infoD|http(s)"
"case_3","netDOS|http(s)"
"case_4","surf|remoteAccess"
"case_4","infoD|remoteAccess"
"case_4","surf|remoteAccess"
"case_4","serD|unassigned"
"case_4","vulnD|storage"
"case_4","infoD|remoteAccess"
"case_4","hostD|remoteAccess"
"case_4","serD|unassigned"
"case_5","serD|unassigned"
"case_5","vulnD|storage"
"case_5","serD|unassigned"
"case_5","vulnD|storage"
"case_5","serD|unassigned"
"case_5","vulnD|storage"
"case_6","serD|unassigned"
"case_6","vulnD|storage"
"case_6","serD|unassigned"
"case_6","vulnD|storage"
"case_6","serD|unassigned"
"case_6","vulnD|storage"
"case_7","serD|unassigned"
"case_7","vulnD|storage"
"case_7","serD|unassigned"
"case_7","vulnD|storage"
"case_7","serD|unassigned"
"case_7","vulnD|storage"
"case_7","infoD|broadcast"
"case_7","surf|broadcast"
"case_8","serD|unassigned"
"case_8","vulnD|storage"
"case_8","serD|unassigned"
"case_8","vulnD|storage"
"case_8","serD|unassigned"
"case_8","vulnD|storage"
"case_9","serD|unassigned"
"case_9","vulnD|storage"
"case_9","serD|unassigned"
"case_9","vulnD|storage"
"case_9","serD|unassigned"
"case_9","vulnD|storage"
"case_9","surf|http(s)"
"case_9","infoD|http(s)"
"case_9","netDOS|http(s)"
"case_10","serD|unassigned"
"case_10","vulnD|storage"
"case_10","serD|unassigned"
"case_10","vulnD|storage"
"case_10","serD|unassigned"
"case_10","vulnD|storage"
"case_10","serD|unassigned"
"case_10","vulnD|storage"
"case_11","serD|unassigned"
"case_11","vulnD|storage"
"case_11","serD|unassigned"
"case_11","vulnD|storage"
"case_11","serD|unassigned"
"case_11","vulnD|storage"
"case_11","serD|unassigned"
"case_11","vulnD|storage"
"case_12","serD|unassigned"
"case_12","vulnD|storage"
"case_12","serD|unassigned"
"case_12","vulnD|storage"
"case_12","serD|unassigned"
"case_12","vulnD|storage"
"case_13","serD|unassigned"
"case_13","vulnD|storage"
"case_13","serD|unassigned"
"case_13","vulnD|storage"
"case_13","hostD|http(s)"
"case_13","serD|unassigned"
"case_13","vulnD|storage"
"case_13","hostD|http(s)"
"case_13","surf|http(s)"
"case_13","infoD|http(s)"
"case_13","netDOS|http(s)"
"case_14","surf|http(s)"
"case_14","infoD|http(s)"
"case_14","netDOS|http(s)"
"case_15","hostD|http(s)"
"case_15","serD|unassigned"
"case_15","vulnD|storage"
"case_16","hostD|surveillance"
"case_16","serD|unassigned"
"case_16","vulnD|storage"
"case_16","surf|surveillance"
"case_16","infoD|surveillance"
"case_17","hostD|http(s)"
"case_17","serD|unassigned"
